top,util,aspect,pearson,kendall,spearman,pearson_deg,kendall_deg,spearman_deg
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
mempool_tile_wrap,0.8,0.75,0.4706454483673789,0.25892609439908165,0.37836865014432775,0.6360753569938765,0.49955132633845933,0.613585605454371
ariane,0.6,2.0,0.4167278017271805,0.22467549238368306,0.3284657725343749,0.6195128672821637,0.4714731982936301,0.5751139942959023
ariane,0.65,2.0,0.42198671855619796,0.2284377488719468,0.3339611038500573,0.6181661299104161,0.46996098654871254,0.5733080798103675
jpeg_encoder,0.75,0.5,0.3799272873684722,0.22904223248208308,0.33858084298251023,0.6395568371913893,0.43425111763974256,0.5345994033351267
RocketTile,0.8,1.25,0.4866661352020837,0.3112576604517049,0.4477268863573026,0.6599994303844092,0.4988310578329927,0.6114692119367212
bsg_chip,0.7,1.25,0.43475541547867813,0.25423755914492774,0.3704990173503466,0.5869509097033984,0.4827595659226373,0.5864459538416762
bsg_chip,0.65,1.25,0.4335744848331096,0.2534798256528446,0.3695705136665877,0.5860654677122982,0.4758251901876324,0.5782570616170479
jpeg_encoder,0.6,1.25,0.3786780711476446,0.22596678150223673,0.3338823809854693,0.6408283285168723,0.43268356920217804,0.5336460261255437
jpeg_encoder,0.8,0.5,0.38580230827061707,0.2309585371368693,0.3409386951678397,0.6377217175705502,0.42915901716714316,0.5288484057695302
bsg_chip,0.7,1.0,0.43466831344009893,0.25277753549201065,0.3684384610257687,0.5876936458241455,0.47642491899504064,0.5787996043043342
RocketTile,0.75,1.25,0.48403716077212433,0.3102543364674276,0.4462560843506697,0.6580351010031759,0.5028255637690292,0.6170867943957822
ariane,0.8,1.75,0.4126102752182177,0.22234464124155462,0.3253437860422993,0.614769169294817,0.46430451304911113,0.5670117607021634
mempool_tile_wrap,0.6,0.75,0.4703323159719169,0.2586230820558552,0.3788117824975258,0.634439945701528,0.5010861937695003,0.6155381650522092
mempool_tile_wrap,0.65,0.75,0.4715551098303165,0.2600172636192091,0.38000336416329994,0.6328073378049826,0.501311095850227,0.6157757670062391
RocketTile,0.75,1.5,0.4873676775745436,0.3111791875134632,0.4476474156065215,0.6620049515948443,0.50020976838554,0.6130825281760398
jpeg_encoder,0.65,1.5,0.38182931686306176,0.22798688595731934,0.33659196912658745,0.6419613921778022,0.4289025457391156,0.528604514320027
mempool_tile_wrap,0.65,1.25,0.46803146257675404,0.25439157341881186,0.3733860826740548,0.6302749351540292,0.5036958921593753,0.6184162241075121
mempool_tile_wrap,0.65,1.5,0.47133681504719116,0.2573767958273977,0.3771635246736178,0.6296232187029062,0.5013695023085565,0.6152782080493306
RocketTile,0.6,0.75,0.4860527573494839,0.3080040993119045,0.4443257803296954,0.6549925678061843,0.5016881423228472,0.6157362695318057
mempool_tile_wrap,0.65,1.0,0.4661682367250988,0.25626447357695686,0.37462328745362966,0.6270759181309143,0.49709559746716403,0.6110281068500201
mempool_tile_wrap,0.7,1.25,0.46504357712839983,0.25234217457969654,0.3699464568366949,0.6302840019536059,0.5013729033252997,0.6157627494450524
bsg_chip,0.65,1.5,0.43256925073627084,0.25668072775015005,0.37408652617512406,0.5834336661218348,0.4755388499473328,0.5780995373613771
ariane,0.6,1.75,0.41367616028340687,0.22475730150706938,0.3282771629357132,0.6181980246039885,0.47000542201845696,0.5734750054455657
